periodo,categoria,variacao_pct,ano,trimestre_num,periodo_ordem,data_trimestre
4.º Trimestre de 2025,Total,4.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,Novos,2.6,2025,4,20254,2025-Q4
4.º Trimestre de 2025,Existentes,4.6,2025,4,20254,2025-Q4
3.º Trimestre de 2025,Total,4.1,2025,3,20253,2025-Q3
3.º Trimestre de 2025,Novos,2.9,2025,3,20253,2025-Q3
3.º Trimestre de 2025,Existentes,4.5,2025,3,20253,2025-Q3
2.º Trimestre de 2025,Total,4.8,2025,2,20252,2025-Q2
2.º Trimestre de 2025,Novos,3.8,2025,2,20252,2025-Q2
2.º Trimestre de 2025,Existentes,5.1,2025,2,20252,2025-Q2
1.º Trimestre de 2025,Total,4.8,2025,1,20251,2025-Q1
1.º Trimestre de 2025,Novos,3.7,2025,1,20251,2025-Q1
1.º Trimestre de 2025,Existentes,5.3,2025,1,20251,2025-Q1
4.º Trimestre de 2024,Total,3.0,2024,4,20244,2024-Q4
4.º Trimestre de 2024,Novos,2.9,2024,4,20244,2024-Q4
4.º Trimestre de 2024,Existentes,3.0,2024,4,20244,2024-Q4
