periodo,localizacao,numero_transacoes,ano,trimestre_num,periodo_ordem,data_trimestre
4.º Trimestre de 2025,PT: Portugal,10775345.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,1: Continente,10366708.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,11: Norte,2761751.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,19: Centro,1045183.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,1D: Oeste e Vale do Tejo,791982.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,1A: Grande Lisboa,3074796.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,1B: Península de Setúbal,1136191.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,1C: Alentejo,308709.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,15: Algarve,1248095.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,2: Região Autónoma dos Açores,133808.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,20: Região Autónoma dos Açores,133808.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,3: Região Autónoma da Madeira,274828.0,2025,4,20254,2025-Q4
4.º Trimestre de 2025,30: Região Autónoma da Madeira,274828.0,2025,4,20254,2025-Q4
3.º Trimestre de 2025,PT: Portugal,10498838.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,1: Continente,10147073.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,11: Norte,2651667.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,19: Centro,1048114.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,1D: Oeste e Vale do Tejo,753456.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,1A: Grande Lisboa,3113460.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,1B: Península de Setúbal,1112735.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,1C: Alentejo,305209.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,15: Algarve,1162433.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,2: Região Autónoma dos Açores,141227.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,20: Região Autónoma dos Açores,141227.0,2025,3,20253,2025-Q3
3.º Trimestre de 2025,3: Região Autónoma da Madeira,210538.0,2025,3,20253,2025-Q3
