cod,designacao,data,ano,trimestre,preco_mediano_m2,n_transacoes,tipo_territorio,periodo,preco_yoy_pct,preco_qoq_pct,transacoes_yoy_pct,tipologia
1B,Península de Setúbal,2019-01-01,2019,1,1099.0,3997.0,sub-região,2019 Q1,,,,Total
1B,Península de Setúbal,2019-04-01,2019,2,1130.0,3992.0,sub-região,2019 Q2,,2.82,,Total
1B,Península de Setúbal,2019-07-01,2019,3,1179.0,4043.0,sub-região,2019 Q3,,4.34,,Total
1B,Península de Setúbal,2019-10-01,2019,4,1157.0,4492.0,sub-região,2019 Q4,,-1.87,,Total
1B,Península de Setúbal,2020-01-01,2020,1,1263.0,3813.0,sub-região,2020 Q1,14.92,9.16,-4.6,Total
1B,Península de Setúbal,2020-04-01,2020,2,1305.0,2769.0,sub-região,2020 Q2,15.49,3.33,-30.64,Total
1B,Península de Setúbal,2020-07-01,2020,3,1355.0,3551.0,sub-região,2020 Q3,14.93,3.83,-12.17,Total
1B,Península de Setúbal,2020-10-01,2020,4,1336.0,4197.0,sub-região,2020 Q4,15.47,-1.4,-6.57,Total
1B,Península de Setúbal,2021-01-01,2021,1,1383.0,3680.0,sub-região,2021 Q1,9.5,3.52,-3.49,Total
1B,Península de Setúbal,2021-04-01,2021,2,1421.0,4403.0,sub-região,2021 Q2,8.89,2.75,59.01,Total
1B,Península de Setúbal,2021-07-01,2021,3,1493.0,4350.0,sub-região,2021 Q3,10.18,5.07,22.5,Total
1B,Península de Setúbal,2021-10-01,2021,4,1525.0,4434.0,sub-região,2021 Q4,14.15,2.14,5.65,Total
1B,Península de Setúbal,2022-01-01,2022,1,1618.0,4249.0,sub-região,2022 Q1,16.99,6.1,15.46,Total
1B,Península de Setúbal,2022-04-01,2022,2,1709.0,4395.0,sub-região,2022 Q2,20.27,5.62,-0.18,Total
1B,Península de Setúbal,2022-07-01,2022,3,1759.0,4025.0,sub-região,2022 Q3,17.82,2.93,-7.47,Total
1B,Península de Setúbal,2022-10-01,2022,4,1778.0,3677.0,sub-região,2022 Q4,16.59,1.08,-17.07,Total
1B,Península de Setúbal,2023-01-01,2023,1,1833.0,3018.0,sub-região,2023 Q1,13.29,3.09,-28.97,Total
1B,Península de Setúbal,2023-04-01,2023,2,1879.0,3276.0,sub-região,2023 Q2,9.95,2.51,-25.46,Total
1B,Península de Setúbal,2023-07-01,2023,3,1950.0,3033.0,sub-região,2023 Q3,10.86,3.78,-24.65,Total
1B,Península de Setúbal,2023-10-01,2023,4,1952.0,3142.0,sub-região,2023 Q4,9.79,0.1,-14.55,Total
1B,Península de Setúbal,2024-01-01,2024,1,1987.0,3065.0,sub-região,2024 Q1,8.4,1.79,1.56,Total
1B,Península de Setúbal,2024-04-01,2024,2,2048.0,3439.0,sub-região,2024 Q2,8.99,3.07,4.98,Total
1B,Península de Setúbal,2024-07-01,2024,3,2159.0,3829.0,sub-região,2024 Q3,10.72,5.42,26.24,Total
1B,Península de Setúbal,2024-10-01,2024,4,2222.0,4263.0,sub-região,2024 Q4,13.83,2.92,35.68,Total
1B,Península de Setúbal,2025-01-01,2025,1,2325.0,3893.0,sub-região,2025 Q1,17.01,4.64,27.01,Total
1B,Península de Setúbal,2025-04-01,2025,2,2511.0,3965.0,sub-região,2025 Q2,22.61,8.0,15.3,Total
1B,Península de Setúbal,2025-07-01,2025,3,2710.0,4073.0,sub-região,2025 Q3,25.52,7.93,6.37,Total
1B,Península de Setúbal,2025-10-01,2025,4,2831.0,4011.0,sub-região,2025 Q4,27.41,4.46,-5.91,Total
1B0,Península de Setúbal,2019-01-01,2019,1,1099.0,3997.0,sub-região,2019 Q1,,,,Total
1B0,Península de Setúbal,2019-04-01,2019,2,1130.0,3992.0,sub-região,2019 Q2,,2.82,,Total
1B0,Península de Setúbal,2019-07-01,2019,3,1179.0,4043.0,sub-região,2019 Q3,,4.34,,Total
1B0,Península de Setúbal,2019-10-01,2019,4,1157.0,4492.0,sub-região,2019 Q4,,-1.87,,Total
1B0,Península de Setúbal,2020-01-01,2020,1,1263.0,3813.0,sub-região,2020 Q1,14.92,9.16,-4.6,Total
1B0,Península de Setúbal,2020-04-01,2020,2,1305.0,2769.0,sub-região,2020 Q2,15.49,3.33,-30.64,Total
1B0,Península de Setúbal,2020-07-01,2020,3,1355.0,3551.0,sub-região,2020 Q3,14.93,3.83,-12.17,Total
1B0,Península de Setúbal,2020-10-01,2020,4,1336.0,4197.0,sub-região,2020 Q4,15.47,-1.4,-6.57,Total
1B0,Península de Setúbal,2021-01-01,2021,1,1383.0,3680.0,sub-região,2021 Q1,9.5,3.52,-3.49,Total
1B0,Península de Setúbal,2021-04-01,2021,2,1421.0,4403.0,sub-região,2021 Q2,8.89,2.75,59.01,Total
1B0,Península de Setúbal,2021-07-01,2021,3,1493.0,4350.0,sub-região,2021 Q3,10.18,5.07,22.5,Total
1B0,Península de Setúbal,2021-10-01,2021,4,1525.0,4434.0,sub-região,2021 Q4,14.15,2.14,5.65,Total
