
Quadro extraído em 25 de Maio de 2026 (15:21:40)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (?) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;? (milhares);
4.º Trimestre de 2025;PT: Portugal;10775345;
;1: Continente;10366708;
;11: Norte;2761751;
;19: Centro;1045183;
;1D: Oeste e Vale do Tejo;791982;
;1A: Grande Lisboa;3074796;
;1B: Península de Setúbal;1136191;
;1C: Alentejo;308709;
;15: Algarve;1248095;
;2: Região Autónoma dos Açores;133808;
;20: Região Autónoma dos Açores;133808;
;3: Região Autónoma da Madeira;274828;
;30: Região Autónoma da Madeira;274828;
3.º Trimestre de 2025;PT: Portugal;10498838;
;1: Continente;10147073;
;11: Norte;2651667;
;19: Centro;1048114;
;1D: Oeste e Vale do Tejo;753456;
;1A: Grande Lisboa;3113460;
;1B: Península de Setúbal;1112735;
;1C: Alentejo;305209;
;15: Algarve;1162433;
;2: Região Autónoma dos Açores;141227;
;20: Região Autónoma dos Açores;141227;
;3: Região Autónoma da Madeira;210538;
;30: Região Autónoma da Madeira;210538;
2.º Trimestre de 2025;PT: Portugal;10270423;
;1: Continente;9929385;
;11: Norte;2684264;
;19: Centro;957222;
;1D: Oeste e Vale do Tejo;691960;
;1A: Grande Lisboa;3155488;
;1B: Península de Setúbal;1009539;
;1C: Alentejo;269263;
;15: Algarve;1161649;
;2: Região Autónoma dos Açores;123219;
;20: Região Autónoma dos Açores;123219;
;3: Região Autónoma da Madeira;217819;
;30: Região Autónoma da Madeira;217819;
1.º Trimestre de 2025;PT: Portugal;9617638;
;1: Continente;9237144;
;11: Norte;2427312;
;19: Centro;888254;
;1D: Oeste e Vale do Tejo;643594;
;1A: Grande Lisboa;3056873;
;1B: Península de Setúbal;947872;
;1C: Alentejo;254920;
;15: Algarve;1018319;
;2: Região Autónoma dos Açores;114858;
;20: Região Autónoma dos Açores;114858;
;3: Região Autónoma da Madeira;265637;
;30: Região Autónoma da Madeira;265637;
4.º Trimestre de 2024;PT: Portugal;10173942;
;1: Continente;9593540;
;11: Norte;2479655;
;19: Centro;908852;
;1D: Oeste e Vale do Tejo;655532;
;1A: Grande Lisboa;3203326;
