
Quadro extraído em 25 de Maio de 2026 (16:50:54)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (N.º) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;N.º ;
4.º Trimestre de 2025;PT: Portugal;43084;
;1: Continente;41564;
;11: Norte;12885;
;19: Centro;6982;
;1D: Oeste e Vale do Tejo;4180;
;1A: Grande Lisboa;7796;
;1B: Península de Setúbal;4167;
;1C: Alentejo;2302;
;15: Algarve;3252;
;2: Região Autónoma dos Açores;655;
;20: Região Autónoma dos Açores;655;
;3: Região Autónoma da Madeira;865;
;30: Região Autónoma da Madeira;865;
3.º Trimestre de 2025;PT: Portugal;42481;
;1: Continente;41032;
;11: Norte;12542;
;19: Centro;7152;
;1D: Oeste e Vale do Tejo;4073;
;1A: Grande Lisboa;7759;
;1B: Península de Setúbal;4190;
;1C: Alentejo;2333;
;15: Algarve;2983;
;2: Região Autónoma dos Açores;697;
;20: Região Autónoma dos Açores;697;
;3: Região Autónoma da Madeira;752;
;30: Região Autónoma da Madeira;752;
2.º Trimestre de 2025;PT: Portugal;42889;
;1: Continente;41433;
;11: Norte;12955;
;19: Centro;6832;
;1D: Oeste e Vale do Tejo;3977;
;1A: Grande Lisboa;8189;
;1B: Península de Setúbal;4096;
;1C: Alentejo;2162;
;15: Algarve;3222;
;2: Região Autónoma dos Açores;664;
;20: Região Autónoma dos Açores;664;
;3: Região Autónoma da Madeira;792;
;30: Região Autónoma da Madeira;792;
1.º Trimestre de 2025;PT: Portugal;41358;
;1: Continente;39815;
;11: Norte;12285;
;19: Centro;6501;
;1D: Oeste e Vale do Tejo;3885;
;1A: Grande Lisboa;8018;
;1B: Península de Setúbal;4035;
;1C: Alentejo;2064;
;15: Algarve;3027;
;2: Região Autónoma dos Açores;649;
;20: Região Autónoma dos Açores;649;
;3: Região Autónoma da Madeira;894;
;30: Região Autónoma da Madeira;894;
4.º Trimestre de 2024;PT: Portugal;45214;
;1: Continente;43028;
;11: Norte;13027;
;19: Centro;7092;
;1D: Oeste e Vale do Tejo;4109;
;1A: Grande Lisboa;8848;
;1B: Península de Setúbal;4358;
;1C: Alentejo;2338;
;15: Algarve;3256;
